step,loss,lr,elapsed_s
20,1.114721,4.000e-06,33.0
40,1.101317,8.000e-06,33.8
60,1.078614,1.200e-05,34.6
80,1.048025,1.600e-05,35.5
100,1.016031,2.000e-05,36.3
120,0.987184,2.400e-05,37.1
140,0.962427,2.800e-05,37.9
160,0.935661,3.200e-05,38.7
180,0.903072,3.600e-05,39.6
200,0.864928,4.000e-05,40.4
220,0.827602,4.400e-05,41.2
240,0.786032,4.800e-05,42.0
260,0.748553,5.200e-05,42.9
280,0.711548,5.600e-05,43.7
300,0.673859,6.000e-05,44.5
320,0.640667,6.400e-05,45.3
340,0.601554,6.800e-05,46.2
360,0.568725,7.200e-05,47.0
380,0.536755,7.600e-05,47.8
400,0.508820,8.000e-05,48.6
420,0.485262,8.400e-05,49.5
440,0.461242,8.800e-05,50.3
460,0.438573,9.200e-05,51.1
480,0.414134,9.600e-05,51.9
500,0.397339,1.000e-04,52.8
520,0.376436,1.000e-04,54.3
540,0.363232,1.000e-04,55.2
560,0.348770,1.000e-04,56.0
580,0.335919,1.000e-04,56.8
600,0.322019,9.999e-05,57.6
620,0.312394,9.999e-05,58.4
640,0.297605,9.999e-05,59.3
660,0.287400,9.998e-05,60.1
680,0.280751,9.998e-05,60.9
700,0.271127,9.997e-05,61.7
720,0.263255,9.997e-05,62.5
740,0.255881,9.996e-05,63.4
760,0.245625,9.996e-05,64.2
780,0.247993,9.995e-05,65.0
800,0.233989,9.994e-05,65.8
820,0.232084,9.993e-05,66.7
840,0.225249,9.993e-05,67.5
860,0.219440,9.992e-05,68.3
880,0.215609,9.991e-05,69.2
900,0.209841,9.990e-05,70.0
920,0.202413,9.989e-05,70.8
940,0.199632,9.987e-05,71.7
960,0.194095,9.986e-05,72.5
980,0.188661,9.985e-05,73.3
1000,0.193155,9.984e-05,74.1
1020,0.182392,9.982e-05,75.4
1040,0.176379,9.981e-05,76.2
1060,0.180697,9.980e-05,77.1
1080,0.178302,9.978e-05,77.9
1100,0.176671,9.977e-05,78.7
1120,0.168704,9.975e-05,79.6
1140,0.169917,9.973e-05,80.4
1160,0.167926,9.972e-05,81.2
1180,0.159863,9.970e-05,82.0
1200,0.163422,9.968e-05,82.9
1220,0.161904,9.966e-05,83.7
1240,0.159301,9.965e-05,84.5
1260,0.156210,9.963e-05,85.3
1280,0.154749,9.961e-05,86.2
1300,0.150231,9.959e-05,87.0
1320,0.152838,9.956e-05,87.8
1340,0.151011,9.954e-05,88.7
1360,0.147717,9.952e-05,89.5
1380,0.145445,9.950e-05,90.3
1400,0.141135,9.948e-05,91.1
1420,0.141173,9.945e-05,92.0
1440,0.141489,9.943e-05,92.8
1460,0.135981,9.940e-05,93.6
1480,0.141850,9.938e-05,94.4
1500,0.136524,9.935e-05,95.3
1520,0.135168,9.933e-05,96.6
1540,0.133289,9.930e-05,97.4
1560,0.129257,9.927e-05,98.2
1580,0.132015,9.925e-05,99.0
1600,0.126914,9.922e-05,99.9
1620,0.130142,9.919e-05,100.7
1640,0.129542,9.916e-05,101.5
1660,0.125596,9.913e-05,102.3
1680,0.125843,9.910e-05,103.2
1700,0.126617,9.907e-05,104.0
1720,0.121558,9.904e-05,104.8
1740,0.124223,9.901e-05,105.6
1760,0.117726,9.897e-05,106.4
1780,0.121937,9.894e-05,107.2
1800,0.121679,9.891e-05,108.0
1820,0.116434,9.887e-05,108.8
1840,0.118371,9.884e-05,109.6
1860,0.115167,9.880e-05,110.4
1880,0.117552,9.877e-05,111.2
1900,0.115388,9.873e-05,112.0
1920,0.111109,9.870e-05,112.8
1940,0.112731,9.866e-05,113.6
1960,0.106795,9.862e-05,114.4
1980,0.111352,9.859e-05,115.2
2000,0.106238,9.855e-05,115.9
2020,0.112326,9.851e-05,117.2
2040,0.104295,9.847e-05,118.0
2060,0.105414,9.843e-05,118.8
2080,0.109084,9.839e-05,119.6
2100,0.102382,9.835e-05,120.3
2120,0.106828,9.831e-05,121.2
2140,0.101026,9.826e-05,121.9
2160,0.109044,9.822e-05,122.7
2180,0.098717,9.818e-05,123.5
2200,0.098572,9.814e-05,124.3
2220,0.102444,9.809e-05,125.1
2240,0.096575,9.805e-05,125.9
2260,0.097455,9.800e-05,126.7
2280,0.099082,9.796e-05,127.5
2300,0.102287,9.791e-05,128.3
2320,0.094120,9.787e-05,129.1
2340,0.099338,9.782e-05,129.9
2360,0.093194,9.777e-05,130.6
2380,0.095393,9.772e-05,131.4
2400,0.095633,9.768e-05,132.2
2420,0.091306,9.763e-05,133.0
2440,0.087825,9.758e-05,133.8
2460,0.087683,9.753e-05,134.6
2480,0.089379,9.748e-05,135.4
2500,0.087617,9.743e-05,136.2
2520,0.085326,9.738e-05,137.5
2540,0.087048,9.732e-05,138.3
2560,0.086660,9.727e-05,139.2
2580,0.084573,9.722e-05,140.0
2600,0.085864,9.717e-05,140.8
2620,0.082887,9.711e-05,141.6
2640,0.087753,9.706e-05,142.5
2660,0.085263,9.700e-05,143.3
2680,0.080596,9.695e-05,144.2
2700,0.081707,9.689e-05,145.0
