step,loss,lr,elapsed_s
20,1.114760,4.000e-06,21.0
40,1.101332,8.000e-06,21.9
60,1.078626,1.200e-05,22.7
80,1.048061,1.600e-05,23.6
100,1.016107,2.000e-05,24.5
120,0.987274,2.400e-05,25.3
140,0.962442,2.800e-05,26.2
160,0.935649,3.200e-05,27.0
180,0.903098,3.600e-05,27.9
200,0.865034,4.000e-05,28.7
220,0.827787,4.400e-05,29.6
240,0.786268,4.800e-05,30.4
260,0.748804,5.200e-05,31.3
280,0.711804,5.600e-05,32.1
300,0.674111,6.000e-05,33.0
320,0.640955,6.400e-05,33.8
340,0.601879,6.800e-05,34.7
360,0.569129,7.200e-05,35.5
380,0.537613,7.600e-05,36.4
400,0.509947,8.000e-05,37.2
420,0.484969,8.400e-05,38.1
440,0.461143,8.800e-05,38.9
460,0.439036,9.200e-05,39.7
480,0.415416,9.600e-05,40.5
500,0.399040,1.000e-04,41.3
520,0.377469,1.000e-04,42.7
540,0.363105,1.000e-04,43.5
560,0.348642,1.000e-04,44.3
580,0.336075,1.000e-04,45.1
600,0.322652,9.999e-05,45.9
620,0.312480,9.999e-05,46.7
640,0.296970,9.999e-05,47.6
660,0.286702,9.998e-05,48.4
680,0.277198,9.998e-05,49.2
700,0.267993,9.997e-05,50.1
720,0.259804,9.997e-05,50.9
740,0.252015,9.996e-05,51.7
760,0.242621,9.996e-05,52.6
780,0.245203,9.995e-05,53.4
800,0.231527,9.994e-05,54.2
820,0.229712,9.993e-05,55.1
840,0.222587,9.993e-05,55.9
860,0.217557,9.992e-05,56.7
880,0.214569,9.991e-05,57.6
900,0.208674,9.990e-05,58.4
920,0.201636,9.989e-05,59.2
940,0.197668,9.987e-05,60.1
960,0.193577,9.986e-05,60.9
980,0.188383,9.985e-05,61.7
1000,0.194590,9.984e-05,62.6
1020,0.183923,9.982e-05,63.8
1040,0.176305,9.981e-05,64.6
1060,0.180074,9.980e-05,65.5
1080,0.178825,9.978e-05,66.3
1100,0.177622,9.977e-05,67.1
1120,0.169542,9.975e-05,67.9
1140,0.170655,9.973e-05,68.7
1160,0.168333,9.972e-05,69.5
1180,0.161552,9.970e-05,70.3
1200,0.163298,9.968e-05,71.1
1220,0.161913,9.966e-05,71.9
1240,0.160625,9.965e-05,72.7
1260,0.154615,9.963e-05,73.5
1280,0.153870,9.961e-05,74.3
1300,0.150963,9.959e-05,75.0
1320,0.152206,9.956e-05,75.8
1340,0.150728,9.954e-05,76.6
1360,0.147842,9.952e-05,77.4
1380,0.144509,9.950e-05,78.2
1400,0.141081,9.948e-05,79.0
1420,0.141315,9.945e-05,79.8
1440,0.141419,9.943e-05,80.6
1460,0.134414,9.940e-05,81.5
1480,0.141473,9.938e-05,82.3
1500,0.135151,9.935e-05,83.1
1520,0.134645,9.933e-05,84.4
1540,0.132629,9.930e-05,85.3
1560,0.128723,9.927e-05,86.1
1580,0.130424,9.925e-05,86.9
1600,0.125993,9.922e-05,87.7
1620,0.128981,9.919e-05,88.6
1640,0.128444,9.916e-05,89.4
1660,0.124520,9.913e-05,90.2
1680,0.125414,9.910e-05,91.0
1700,0.126765,9.907e-05,91.8
1720,0.121202,9.904e-05,92.6
1740,0.124749,9.901e-05,93.4
1760,0.118901,9.897e-05,94.2
1780,0.125104,9.894e-05,95.0
1800,0.124917,9.891e-05,95.8
1820,0.116967,9.887e-05,96.6
1840,0.116351,9.884e-05,97.4
1860,0.115816,9.880e-05,98.2
1880,0.117818,9.877e-05,99.0
1900,0.115073,9.873e-05,99.8
1920,0.111377,9.870e-05,100.6
1940,0.112175,9.866e-05,101.4
1960,0.107468,9.862e-05,102.2
1980,0.110385,9.859e-05,103.0
2000,0.105239,9.855e-05,103.8
2020,0.110342,9.851e-05,105.0
2040,0.104528,9.847e-05,105.8
2060,0.105623,9.843e-05,106.6
2080,0.108962,9.839e-05,107.4
2100,0.102845,9.835e-05,108.2
2120,0.104964,9.831e-05,109.0
2140,0.100190,9.826e-05,109.8
2160,0.111045,9.822e-05,110.6
2180,0.099359,9.818e-05,111.4
2200,0.099265,9.814e-05,112.2
2220,0.102938,9.809e-05,113.0
2240,0.095881,9.805e-05,113.8
2260,0.097881,9.800e-05,114.6
2280,0.099767,9.796e-05,115.4
2300,0.100522,9.791e-05,116.2
2320,0.094638,9.787e-05,117.0
2340,0.097909,9.782e-05,117.8
2360,0.093184,9.777e-05,118.6
2380,0.094496,9.772e-05,119.4
2400,0.095407,9.768e-05,120.2
2420,0.090610,9.763e-05,121.0
2440,0.086656,9.758e-05,121.8
2460,0.087965,9.753e-05,122.6
2480,0.090045,9.748e-05,123.4
2500,0.088235,9.743e-05,124.2
2520,0.085561,9.738e-05,125.4
2540,0.086908,9.732e-05,126.3
2560,0.085696,9.727e-05,127.1
2580,0.084266,9.722e-05,127.9
2600,0.085273,9.717e-05,128.7
2620,0.084413,9.711e-05,129.5
2640,0.086984,9.706e-05,130.3
2660,0.084679,9.700e-05,131.1
2680,0.080078,9.695e-05,131.9
2700,0.081921,9.689e-05,132.7
2720,0.081913,9.684e-05,133.5
2740,0.078935,9.678e-05,134.3
2760,0.076458,9.672e-05,135.1
2780,0.079332,9.666e-05,135.9
2800,0.072556,9.661e-05,136.7
2820,0.073414,9.655e-05,137.5
2840,0.075065,9.649e-05,138.3
2860,0.073271,9.643e-05,139.1
2880,0.070799,9.637e-05,139.9
2900,0.072449,9.631e-05,140.7
2920,0.069386,9.625e-05,141.5
2940,0.077377,9.619e-05,142.3
2960,0.074655,9.612e-05,143.1
2980,0.069749,9.606e-05,144.0
3000,0.076943,9.600e-05,144.8
3020,0.066859,9.594e-05,146.1
3040,0.069964,9.587e-05,146.9
3060,0.071063,9.581e-05,147.8
3080,0.069090,9.574e-05,148.6
3100,0.066411,9.568e-05,149.4
3120,0.067321,9.561e-05,150.3
3140,0.063476,9.555e-05,151.1
3160,0.066700,9.548e-05,151.9
3180,0.061827,9.541e-05,152.7
3200,0.066088,9.534e-05,153.5
3220,0.062071,9.528e-05,154.3
3240,0.063826,9.521e-05,155.1
3260,0.063523,9.514e-05,155.9
3280,0.065111,9.507e-05,156.7
3300,0.060765,9.500e-05,157.5
3320,0.064121,9.493e-05,158.3
3340,0.059152,9.486e-05,159.1
3360,0.061469,9.479e-05,159.9
3380,0.058051,9.471e-05,160.7
3400,0.062056,9.464e-05,161.6
3420,0.061728,9.457e-05,162.4
3440,0.063263,9.450e-05,163.2
3460,0.056257,9.442e-05,164.0
3480,0.054566,9.435e-05,164.8
3500,0.051232,9.427e-05,165.6
3520,0.052466,9.420e-05,166.8
3540,0.060863,9.412e-05,167.6
3560,0.053861,9.405e-05,168.5
3580,0.053440,9.397e-05,169.3
3600,0.056793,9.389e-05,170.1
3620,0.050565,9.382e-05,171.0
3640,0.050076,9.374e-05,171.8
3660,0.053205,9.366e-05,172.6
3680,0.056775,9.358e-05,173.4
