step,loss,lr,elapsed_s
20,1.113537,4.000e-06,25.0
40,1.099767,8.000e-06,25.9
60,1.076266,1.200e-05,26.7
80,1.045201,1.600e-05,27.6
100,1.015060,2.000e-05,28.4
120,0.989402,2.400e-05,29.3
140,0.967324,2.800e-05,30.1
160,0.942866,3.200e-05,31.0
180,0.911448,3.600e-05,31.8
200,0.872799,4.000e-05,32.7
220,0.834085,4.400e-05,33.5
240,0.791095,4.800e-05,34.4
260,0.752640,5.200e-05,35.3
280,0.714417,5.600e-05,36.1
300,0.676199,6.000e-05,37.0
320,0.642877,6.400e-05,37.8
340,0.605056,6.800e-05,38.7
360,0.573456,7.200e-05,39.5
380,0.543024,7.600e-05,40.3
400,0.515249,8.000e-05,41.2
420,0.491373,8.400e-05,42.0
440,0.468577,8.800e-05,42.8
460,0.446217,9.200e-05,43.7
480,0.422980,9.600e-05,44.5
500,0.407784,1.000e-04,45.4
520,0.388013,1.000e-04,46.6
540,0.373898,1.000e-04,47.5
560,0.358981,1.000e-04,48.3
580,0.347194,1.000e-04,49.2
600,0.333371,9.999e-05,50.1
620,0.324099,9.999e-05,50.9
640,0.309236,9.999e-05,51.8
660,0.298415,9.998e-05,52.6
680,0.291046,9.998e-05,53.5
700,0.281229,9.997e-05,54.3
720,0.273377,9.997e-05,55.1
740,0.265004,9.996e-05,56.0
760,0.254967,9.996e-05,56.8
780,0.257910,9.995e-05,57.6
800,0.243555,9.994e-05,58.5
820,0.241675,9.993e-05,59.3
840,0.234248,9.993e-05,60.2
860,0.228866,9.992e-05,61.0
880,0.226426,9.991e-05,61.8
900,0.220651,9.990e-05,62.7
920,0.211855,9.989e-05,63.5
940,0.207146,9.987e-05,64.3
960,0.203983,9.986e-05,65.2
980,0.198397,9.985e-05,66.0
1000,0.203859,9.984e-05,66.9
1020,0.191753,9.982e-05,68.2
1040,0.185227,9.981e-05,69.0
1060,0.189701,9.980e-05,69.9
1080,0.187884,9.978e-05,70.7
1100,0.187450,9.977e-05,71.6
1120,0.178460,9.975e-05,72.4
1140,0.179636,9.973e-05,73.2
1160,0.176295,9.972e-05,74.1
1180,0.168534,9.970e-05,74.9
1200,0.171024,9.968e-05,75.8
1220,0.170765,9.966e-05,76.6
1240,0.167321,9.965e-05,77.4
1260,0.162859,9.963e-05,78.3
1280,0.161528,9.961e-05,79.1
1300,0.157865,9.959e-05,80.0
1320,0.158822,9.956e-05,80.8
1340,0.158530,9.954e-05,81.6
1360,0.155490,9.952e-05,82.5
1380,0.151027,9.950e-05,83.3
1400,0.147490,9.948e-05,84.1
1420,0.148819,9.945e-05,85.0
1440,0.148794,9.943e-05,85.8
1460,0.140944,9.940e-05,86.6
1480,0.147626,9.938e-05,87.5
1500,0.142338,9.935e-05,88.4
1520,0.140679,9.933e-05,89.7
1540,0.138538,9.930e-05,90.5
1560,0.135643,9.927e-05,91.3
1580,0.137579,9.925e-05,92.2
1600,0.134397,9.922e-05,93.0
1620,0.134893,9.919e-05,93.9
1640,0.134747,9.916e-05,94.7
1660,0.130280,9.913e-05,95.6
1680,0.131449,9.910e-05,96.4
1700,0.133373,9.907e-05,97.2
1720,0.126851,9.904e-05,98.1
1740,0.130090,9.901e-05,98.9
1760,0.124116,9.897e-05,99.8
1780,0.127829,9.894e-05,100.6
1800,0.127786,9.891e-05,101.4
1820,0.125392,9.887e-05,102.3
1840,0.125382,9.884e-05,103.1
1860,0.121686,9.880e-05,103.9
1880,0.122749,9.877e-05,104.8
1900,0.120547,9.873e-05,105.6
1920,0.116090,9.870e-05,106.5
1940,0.117396,9.866e-05,107.3
1960,0.112197,9.862e-05,108.2
1980,0.115868,9.859e-05,109.0
2000,0.110053,9.855e-05,109.8
2020,0.117211,9.851e-05,111.1
2040,0.108251,9.847e-05,111.9
2060,0.110450,9.843e-05,112.8
2080,0.113791,9.839e-05,113.6
2100,0.107692,9.835e-05,114.4
2120,0.110244,9.831e-05,115.3
