step,loss,lr,elapsed_s
20,1.114522,4.000e-06,28.4
40,1.101242,8.000e-06,29.2
60,1.078614,1.200e-05,30.1
80,1.048133,1.600e-05,31.0
100,1.016291,2.000e-05,31.9
120,0.987435,2.400e-05,32.7
140,0.962093,2.800e-05,33.6
160,0.934733,3.200e-05,34.5
180,0.902212,3.600e-05,35.4
200,0.864736,4.000e-05,36.3
220,0.827424,4.400e-05,37.2
240,0.786062,4.800e-05,38.1
260,0.749514,5.200e-05,39.0
280,0.712047,5.600e-05,39.9
300,0.674392,6.000e-05,40.8
320,0.641178,6.400e-05,41.7
340,0.602942,6.800e-05,42.5
360,0.569922,7.200e-05,43.4
380,0.538295,7.600e-05,44.3
400,0.509266,8.000e-05,45.2
420,0.485903,8.400e-05,46.1
440,0.462405,8.800e-05,47.0
460,0.440209,9.200e-05,47.9
480,0.416153,9.600e-05,48.8
500,0.398359,1.000e-04,49.7
520,0.377039,1.000e-04,51.1
540,0.362227,1.000e-04,52.0
560,0.346688,1.000e-04,52.9
580,0.337565,1.000e-04,53.8
600,0.322654,9.999e-05,54.7
620,0.311580,9.999e-05,55.6
640,0.297010,9.999e-05,56.5
660,0.286965,9.998e-05,57.4
680,0.278698,9.998e-05,58.3
700,0.269575,9.997e-05,59.2
720,0.262459,9.997e-05,60.0
740,0.253971,9.996e-05,60.9
760,0.243692,9.996e-05,61.8
780,0.243701,9.995e-05,62.7
800,0.230724,9.994e-05,63.6
820,0.232006,9.993e-05,64.5
840,0.223332,9.993e-05,65.4
860,0.217999,9.992e-05,66.4
880,0.215064,9.991e-05,67.3
900,0.210361,9.990e-05,68.2
920,0.202236,9.989e-05,69.1
940,0.200048,9.987e-05,70.1
960,0.195856,9.986e-05,71.0
980,0.189226,9.985e-05,71.9
1000,0.194342,9.984e-05,72.8
1020,0.182730,9.982e-05,74.1
1040,0.176956,9.981e-05,75.0
1060,0.180432,9.980e-05,75.9
1080,0.178836,9.978e-05,76.8
1100,0.178031,9.977e-05,77.6
1120,0.171140,9.975e-05,78.5
1140,0.172690,9.973e-05,79.4
1160,0.169397,9.972e-05,80.3
1180,0.161568,9.970e-05,81.3
1200,0.164919,9.968e-05,82.2
1220,0.163929,9.966e-05,83.1
1240,0.160482,9.965e-05,84.0
1260,0.155048,9.963e-05,84.9
1280,0.154547,9.961e-05,85.9
1300,0.151265,9.959e-05,86.8
1320,0.151363,9.956e-05,87.7
1340,0.151996,9.954e-05,88.6
1360,0.148915,9.952e-05,89.5
1380,0.144039,9.950e-05,90.4
1400,0.141727,9.948e-05,91.3
1420,0.142238,9.945e-05,92.2
1440,0.145343,9.943e-05,93.1
1460,0.136456,9.940e-05,94.1
1480,0.143251,9.938e-05,95.0
1500,0.136563,9.935e-05,95.9
1520,0.134857,9.933e-05,97.2
1540,0.133904,9.930e-05,98.2
1560,0.129606,9.927e-05,99.1
1580,0.131268,9.925e-05,100.0
1600,0.128650,9.922e-05,100.9
1620,0.130990,9.919e-05,101.9
1640,0.131782,9.916e-05,102.8
1660,0.126119,9.913e-05,103.7
1680,0.126623,9.910e-05,104.7
1700,0.129156,9.907e-05,105.7
1720,0.121856,9.904e-05,106.6
1740,0.125292,9.901e-05,107.4
1760,0.122013,9.897e-05,108.3
1780,0.125004,9.894e-05,109.2
1800,0.123885,9.891e-05,110.1
1820,0.121126,9.887e-05,111.0
1840,0.120103,9.884e-05,111.9
1860,0.118005,9.880e-05,112.8
1880,0.118623,9.877e-05,113.7
1900,0.116170,9.873e-05,114.5
1920,0.111624,9.870e-05,115.4
1940,0.115230,9.866e-05,116.3
1960,0.110420,9.862e-05,117.2
1980,0.111700,9.859e-05,118.0
2000,0.106871,9.855e-05,118.9
2020,0.115201,9.851e-05,120.2
2040,0.106378,9.847e-05,121.1
2060,0.105547,9.843e-05,121.9
2080,0.109387,9.839e-05,122.8
2100,0.104731,9.835e-05,123.6
2120,0.106083,9.831e-05,124.5
2140,0.100376,9.826e-05,125.3
2160,0.109633,9.822e-05,126.1
2180,0.099215,9.818e-05,127.0
2200,0.100302,9.814e-05,127.8
2220,0.103011,9.809e-05,128.6
2240,0.096693,9.805e-05,129.5
2260,0.098652,9.800e-05,130.3
2280,0.102018,9.796e-05,131.1
2300,0.103774,9.791e-05,131.9
2320,0.095420,9.787e-05,132.8
2340,0.098626,9.782e-05,133.7
2360,0.094613,9.777e-05,134.5
2380,0.100867,9.772e-05,135.3
2400,0.096365,9.768e-05,136.2
2420,0.090624,9.763e-05,137.0
2440,0.088039,9.758e-05,137.8
