step,loss,lr,elapsed_s
20,1.114708,4.000e-06,21.0
40,1.101529,8.000e-06,21.8
60,1.078631,1.200e-05,22.7
80,1.048019,1.600e-05,23.5
100,1.015947,2.000e-05,24.4
120,0.987158,2.400e-05,25.2
140,0.963282,2.800e-05,26.1
160,0.937085,3.200e-05,26.9
180,0.904695,3.600e-05,27.7
200,0.866472,4.000e-05,28.6
220,0.828645,4.400e-05,29.4
240,0.786270,4.800e-05,30.3
260,0.749366,5.200e-05,31.1
280,0.711552,5.600e-05,32.0
300,0.673792,6.000e-05,32.8
320,0.641379,6.400e-05,33.6
340,0.602378,6.800e-05,34.5
360,0.570225,7.200e-05,35.3
380,0.538469,7.600e-05,36.2
400,0.509825,8.000e-05,37.0
420,0.485256,8.400e-05,37.9
440,0.461690,8.800e-05,38.7
460,0.438767,9.200e-05,39.6
480,0.415695,9.600e-05,40.4
500,0.396526,1.000e-04,41.2
520,0.375839,1.000e-04,42.5
540,0.361487,1.000e-04,43.4
560,0.345728,1.000e-04,44.2
580,0.334558,1.000e-04,45.1
600,0.319081,9.999e-05,45.9
620,0.309733,9.999e-05,46.8
640,0.295858,9.999e-05,47.6
660,0.286269,9.998e-05,48.5
680,0.278224,9.998e-05,49.3
700,0.269022,9.997e-05,50.2
720,0.261316,9.997e-05,51.0
740,0.254736,9.996e-05,51.9
760,0.243480,9.996e-05,52.7
780,0.243196,9.995e-05,53.6
800,0.231402,9.994e-05,54.4
820,0.231769,9.993e-05,55.3
840,0.221955,9.993e-05,56.1
860,0.216570,9.992e-05,57.0
880,0.213928,9.991e-05,57.8
900,0.208108,9.990e-05,58.6
920,0.199201,9.989e-05,59.5
940,0.195888,9.987e-05,60.3
960,0.193519,9.986e-05,61.2
980,0.190327,9.985e-05,62.0
1000,0.194849,9.984e-05,62.9
1020,0.181241,9.982e-05,64.1
1040,0.175971,9.981e-05,65.0
1060,0.178386,9.980e-05,65.8
1080,0.178677,9.978e-05,66.7
1100,0.179219,9.977e-05,67.5
1120,0.170530,9.975e-05,68.4
1140,0.170595,9.973e-05,69.2
1160,0.167233,9.972e-05,70.1
1180,0.161190,9.970e-05,70.9
1200,0.163067,9.968e-05,71.8
1220,0.160818,9.966e-05,72.6
1240,0.159921,9.965e-05,73.5
1260,0.156479,9.963e-05,74.3
1280,0.152107,9.961e-05,75.2
1300,0.151066,9.959e-05,76.0
1320,0.151324,9.956e-05,76.8
1340,0.150089,9.954e-05,77.7
1360,0.148438,9.952e-05,78.6
1380,0.144346,9.950e-05,79.4
1400,0.142711,9.948e-05,80.2
1420,0.141739,9.945e-05,81.1
1440,0.142351,9.943e-05,81.9
1460,0.134297,9.940e-05,82.8
1480,0.141924,9.938e-05,83.6
1500,0.134639,9.935e-05,84.5
1520,0.133728,9.933e-05,85.7
