step,loss,lr,elapsed_s
20,1.113506,4.000e-06,25.0
40,1.099872,8.000e-06,25.9
60,1.076208,1.200e-05,26.8
80,1.045189,1.600e-05,27.6
100,1.015179,2.000e-05,28.5
120,0.989519,2.400e-05,29.3
140,0.967575,2.800e-05,30.2
160,0.943079,3.200e-05,31.0
180,0.911627,3.600e-05,31.8
200,0.872906,4.000e-05,32.7
220,0.833941,4.400e-05,33.5
240,0.790448,4.800e-05,34.4
260,0.752504,5.200e-05,35.2
280,0.713875,5.600e-05,36.0
300,0.675574,6.000e-05,36.9
320,0.642866,6.400e-05,37.7
340,0.605030,6.800e-05,38.5
360,0.573800,7.200e-05,39.3
380,0.543510,7.600e-05,40.2
400,0.515918,8.000e-05,41.0
420,0.491160,8.400e-05,41.8
440,0.468342,8.800e-05,42.7
460,0.446737,9.200e-05,43.5
480,0.423757,9.600e-05,44.3
500,0.406072,1.000e-04,45.2
520,0.386646,1.000e-04,46.5
540,0.373193,1.000e-04,47.3
560,0.357832,1.000e-04,48.2
580,0.348051,1.000e-04,49.0
600,0.332301,9.999e-05,49.9
620,0.322443,9.999e-05,50.7
640,0.308700,9.999e-05,51.5
660,0.297862,9.998e-05,52.4
680,0.289128,9.998e-05,53.2
700,0.280167,9.997e-05,54.1
720,0.274325,9.997e-05,54.9
740,0.266589,9.996e-05,55.8
760,0.256830,9.996e-05,56.6
780,0.257841,9.995e-05,57.4
800,0.244695,9.994e-05,58.3
820,0.244222,9.993e-05,59.1
840,0.236044,9.993e-05,59.9
860,0.229810,9.992e-05,60.8
880,0.228093,9.991e-05,61.6
900,0.220914,9.990e-05,62.5
920,0.212601,9.989e-05,63.3
940,0.208629,9.987e-05,64.1
960,0.205043,9.986e-05,65.0
980,0.198785,9.985e-05,65.8
1000,0.203704,9.984e-05,66.7
1020,0.191728,9.982e-05,67.9
1040,0.185699,9.981e-05,68.8
1060,0.188384,9.980e-05,69.6
1080,0.187137,9.978e-05,70.4
1100,0.186914,9.977e-05,71.3
1120,0.178080,9.975e-05,72.1
1140,0.179252,9.973e-05,72.9
1160,0.175015,9.972e-05,73.8
1180,0.169693,9.970e-05,74.6
1200,0.172552,9.968e-05,75.4
1220,0.168422,9.966e-05,76.3
1240,0.168161,9.965e-05,77.1
1260,0.163428,9.963e-05,77.9
1280,0.160303,9.961e-05,78.8
1300,0.157657,9.959e-05,79.6
1320,0.158035,9.956e-05,80.4
1340,0.157728,9.954e-05,81.3
1360,0.155895,9.952e-05,82.1
1380,0.151775,9.950e-05,83.0
1400,0.148345,9.948e-05,83.8
1420,0.147961,9.945e-05,84.7
1440,0.149171,9.943e-05,85.5
1460,0.141518,9.940e-05,86.4
1480,0.149428,9.938e-05,87.2
1500,0.141871,9.935e-05,88.1
1520,0.140817,9.933e-05,89.3
1540,0.139584,9.930e-05,90.2
1560,0.135113,9.927e-05,91.0
1580,0.136766,9.925e-05,91.9
1600,0.133783,9.922e-05,92.7
1620,0.135386,9.919e-05,93.5
1640,0.136068,9.916e-05,94.4
1660,0.131056,9.913e-05,95.2
1680,0.130572,9.910e-05,96.0
1700,0.133968,9.907e-05,96.8
1720,0.126303,9.904e-05,97.6
1740,0.129990,9.901e-05,98.4
1760,0.124247,9.897e-05,99.2
1780,0.127321,9.894e-05,100.0
1800,0.126479,9.891e-05,100.8
1820,0.122527,9.887e-05,101.6
1840,0.121933,9.884e-05,102.4
1860,0.120836,9.880e-05,103.2
1880,0.125577,9.877e-05,104.0
1900,0.122834,9.873e-05,104.8
1920,0.116148,9.870e-05,105.6
1940,0.118635,9.866e-05,106.4
1960,0.113025,9.862e-05,107.2
1980,0.115289,9.859e-05,108.0
2000,0.109726,9.855e-05,108.8
2020,0.115582,9.851e-05,110.1
2040,0.109138,9.847e-05,111.0
2060,0.110975,9.843e-05,111.8
2080,0.115721,9.839e-05,112.6
2100,0.108030,9.835e-05,113.3
2120,0.110763,9.831e-05,114.1
2140,0.104304,9.826e-05,114.9
2160,0.112796,9.822e-05,115.7
2180,0.102908,9.818e-05,116.5
2200,0.103999,9.814e-05,117.3
2220,0.105560,9.809e-05,118.1
2240,0.100229,9.805e-05,118.9
2260,0.102186,9.800e-05,119.7
2280,0.103457,9.796e-05,120.5
2300,0.105649,9.791e-05,121.3
2320,0.100172,9.787e-05,122.0
2340,0.102193,9.782e-05,122.8
2360,0.096429,9.777e-05,123.6
2380,0.102801,9.772e-05,124.4
2400,0.102515,9.768e-05,125.2
2420,0.095546,9.763e-05,126.0
2440,0.094303,9.758e-05,126.8
2460,0.093892,9.753e-05,127.6
2480,0.094828,9.748e-05,128.4
2500,0.091922,9.743e-05,129.2
2520,0.088841,9.738e-05,130.4
2540,0.092547,9.732e-05,131.2
2560,0.092330,9.727e-05,132.0
2580,0.091269,9.722e-05,132.8
2600,0.091661,9.717e-05,133.6
2620,0.088349,9.711e-05,134.4
2640,0.091237,9.706e-05,135.1
2660,0.089224,9.700e-05,135.9
2680,0.084121,9.695e-05,136.7
2700,0.085406,9.689e-05,137.5
2720,0.082556,9.684e-05,138.4
2740,0.082249,9.678e-05,139.2
2760,0.079995,9.672e-05,140.0
2780,0.084148,9.666e-05,140.8
2800,0.076866,9.661e-05,141.6
2820,0.077175,9.655e-05,142.4
2840,0.079629,9.649e-05,143.2
2860,0.077487,9.643e-05,144.0
2880,0.075194,9.637e-05,144.8
2900,0.078292,9.631e-05,145.6
2920,0.075975,9.625e-05,146.4
2940,0.079540,9.619e-05,147.2
2960,0.079835,9.612e-05,148.0
2980,0.076229,9.606e-05,148.7
3000,0.081332,9.600e-05,149.5
3020,0.071759,9.594e-05,150.7
3040,0.076666,9.587e-05,151.5
