step,loss,lr,elapsed_s
20,1.114826,4.000e-06,20.9
40,1.101463,8.000e-06,21.8
60,1.078534,1.200e-05,22.6
80,1.047964,1.600e-05,23.4
100,1.015922,2.000e-05,24.3
120,0.987192,2.400e-05,25.1
140,0.963235,2.800e-05,25.9
160,0.937028,3.200e-05,26.7
180,0.904541,3.600e-05,27.6
200,0.866120,4.000e-05,28.4
220,0.828214,4.400e-05,29.2
240,0.785868,4.800e-05,30.1
260,0.748675,5.200e-05,30.9
280,0.710874,5.600e-05,31.7
300,0.673055,6.000e-05,32.6
320,0.640238,6.400e-05,33.4
340,0.601175,6.800e-05,34.2
360,0.568822,7.200e-05,35.0
380,0.537058,7.600e-05,35.9
400,0.508982,8.000e-05,36.7
420,0.484235,8.400e-05,37.5
440,0.460686,8.800e-05,38.4
460,0.438553,9.200e-05,39.2
480,0.415485,9.600e-05,40.0
500,0.397277,1.000e-04,40.9
520,0.376644,1.000e-04,42.2
540,0.362906,1.000e-04,43.0
560,0.347996,1.000e-04,43.8
580,0.337569,1.000e-04,44.7
600,0.321369,9.999e-05,45.5
620,0.311076,9.999e-05,46.3
640,0.296367,9.999e-05,47.2
660,0.286040,9.998e-05,48.0
680,0.278303,9.998e-05,48.8
700,0.269513,9.997e-05,49.7
720,0.261961,9.997e-05,50.5
740,0.254386,9.996e-05,51.3
760,0.243865,9.996e-05,52.2
780,0.245079,9.995e-05,53.0
800,0.232061,9.994e-05,53.8
820,0.230844,9.993e-05,54.7
840,0.222378,9.993e-05,55.5
860,0.216559,9.992e-05,56.3
880,0.213832,9.991e-05,57.1
900,0.208394,9.990e-05,58.0
920,0.200343,9.989e-05,58.8
940,0.196254,9.987e-05,59.6
960,0.194223,9.986e-05,60.5
980,0.187377,9.985e-05,61.3
1000,0.192044,9.984e-05,62.1
1020,0.180854,9.982e-05,63.4
1040,0.175590,9.981e-05,64.2
1060,0.177450,9.980e-05,65.1
1080,0.177379,9.978e-05,65.9
1100,0.177026,9.977e-05,66.7
1120,0.168841,9.975e-05,67.6
1140,0.170851,9.973e-05,68.4
1160,0.166558,9.972e-05,69.2
1180,0.160764,9.970e-05,70.1
1200,0.164723,9.968e-05,70.9
1220,0.160334,9.966e-05,71.7
1240,0.159854,9.965e-05,72.5
1260,0.155179,9.963e-05,73.4
1280,0.152008,9.961e-05,74.2
1300,0.149502,9.959e-05,75.0
1320,0.149928,9.956e-05,75.9
1340,0.149439,9.954e-05,76.7
1360,0.147670,9.952e-05,77.6
1380,0.143828,9.950e-05,78.4
1400,0.140699,9.948e-05,79.2
1420,0.141435,9.945e-05,80.0
1440,0.141522,9.943e-05,80.9
1460,0.135020,9.940e-05,81.7
1480,0.141888,9.938e-05,82.5
1500,0.134339,9.935e-05,83.4
1520,0.133714,9.933e-05,84.6
1540,0.132254,9.930e-05,85.5
1560,0.127394,9.927e-05,86.3
1580,0.128909,9.925e-05,87.1
1600,0.126418,9.922e-05,87.9
1620,0.128563,9.919e-05,88.8
1640,0.128116,9.916e-05,89.6
1660,0.123701,9.913e-05,90.4
1680,0.124792,9.910e-05,91.3
1700,0.127122,9.907e-05,92.1
1720,0.121196,9.904e-05,92.9
1740,0.122714,9.901e-05,93.7
1760,0.116532,9.897e-05,94.6
1780,0.123078,9.894e-05,95.4
1800,0.120859,9.891e-05,96.2
1820,0.115974,9.887e-05,97.1
1840,0.116566,9.884e-05,97.9
1860,0.115604,9.880e-05,98.7
1880,0.117328,9.877e-05,99.5
1900,0.116110,9.873e-05,100.4
1920,0.110857,9.870e-05,101.2
1940,0.112147,9.866e-05,102.0
1960,0.107329,9.862e-05,102.9
1980,0.109906,9.859e-05,103.7
2000,0.104369,9.855e-05,104.5
2020,0.111873,9.851e-05,105.8
2040,0.103128,9.847e-05,106.6
2060,0.104395,9.843e-05,107.5
2080,0.108154,9.839e-05,108.3
2100,0.102349,9.835e-05,109.1
2120,0.105476,9.831e-05,109.9
2140,0.098906,9.826e-05,110.8
2160,0.106871,9.822e-05,111.6
2180,0.097864,9.818e-05,112.4
2200,0.097927,9.814e-05,113.3
2220,0.100241,9.809e-05,114.1
2240,0.094420,9.805e-05,114.9
2260,0.095723,9.800e-05,115.7
2280,0.096928,9.796e-05,116.6
2300,0.099926,9.791e-05,117.4
2320,0.097670,9.787e-05,118.2
2340,0.098403,9.782e-05,119.1
2360,0.090753,9.777e-05,119.9
2380,0.093894,9.772e-05,120.7
2400,0.093545,9.768e-05,121.5
2420,0.088895,9.763e-05,122.4
2440,0.087639,9.758e-05,123.2
2460,0.087230,9.753e-05,124.0
2480,0.088950,9.748e-05,124.9
2500,0.085380,9.743e-05,125.7
2520,0.083514,9.738e-05,126.9
2540,0.085341,9.732e-05,127.7
2560,0.085274,9.727e-05,128.6
2580,0.085783,9.722e-05,129.4
2600,0.085915,9.717e-05,130.2
2620,0.082386,9.711e-05,131.0
2640,0.086703,9.706e-05,131.9
2660,0.083536,9.700e-05,132.7
2680,0.077575,9.695e-05,133.5
2700,0.079989,9.689e-05,134.3
2720,0.075834,9.684e-05,135.2
2740,0.075016,9.678e-05,136.0
2760,0.074799,9.672e-05,136.8
2780,0.079210,9.666e-05,137.7
2800,0.071306,9.661e-05,138.5
2820,0.072196,9.655e-05,139.3
2840,0.073137,9.649e-05,140.2
2860,0.071178,9.643e-05,141.0
2880,0.069415,9.637e-05,141.8
2900,0.072149,9.631e-05,142.6
2920,0.070119,9.625e-05,143.5
2940,0.076438,9.619e-05,144.3
2960,0.073537,9.612e-05,145.1
2980,0.070370,9.606e-05,145.9
3000,0.074386,9.600e-05,146.8
3020,0.066155,9.594e-05,148.0
3040,0.069497,9.587e-05,148.9
3060,0.071340,9.581e-05,149.7
3080,0.068134,9.574e-05,150.5
3100,0.065229,9.568e-05,151.3
3120,0.065759,9.561e-05,152.2
3140,0.060885,9.555e-05,153.0
3160,0.064815,9.548e-05,153.8
3180,0.059915,9.541e-05,154.7
3200,0.064486,9.534e-05,155.5
3220,0.061408,9.528e-05,156.3
3240,0.062973,9.521e-05,157.2
3260,0.062873,9.514e-05,158.0
3280,0.063796,9.507e-05,158.8
3300,0.059624,9.500e-05,159.6
3320,0.062322,9.493e-05,160.5
3340,0.058478,9.486e-05,161.3
3360,0.059135,9.479e-05,162.1
3380,0.056438,9.471e-05,163.0
3400,0.059869,9.464e-05,163.8
3420,0.059445,9.457e-05,164.6
3440,0.058431,9.450e-05,165.5
3460,0.053248,9.442e-05,166.3
3480,0.053014,9.435e-05,167.1
3500,0.051117,9.427e-05,168.0
3520,0.053500,9.420e-05,169.2
3540,0.055679,9.412e-05,170.1
3560,0.052636,9.405e-05,170.9
3580,0.051482,9.397e-05,171.7
3600,0.053539,9.389e-05,172.5
3620,0.051186,9.382e-05,173.4
3640,0.049063,9.374e-05,174.2
3660,0.051514,9.366e-05,175.0
3680,0.055429,9.358e-05,175.9
3700,0.053502,9.350e-05,176.7
3720,0.048982,9.342e-05,177.5
3740,0.048801,9.334e-05,178.3
3760,0.053395,9.326e-05,179.2
3780,0.049525,9.318e-05,180.0
3800,0.050446,9.310e-05,180.8
3820,0.052194,9.302e-05,181.7
3840,0.049734,9.293e-05,182.5
3860,0.049200,9.285e-05,183.3
3880,0.054461,9.277e-05,184.1
3900,0.045966,9.268e-05,185.0
3920,0.047874,9.260e-05,185.8
3940,0.047526,9.252e-05,186.6
3960,0.045703,9.243e-05,187.5
3980,0.044945,9.235e-05,188.3
4000,0.043475,9.226e-05,189.1
4020,0.042886,9.217e-05,190.4
4040,0.045025,9.209e-05,191.2
4060,0.052080,9.200e-05,192.0
4080,0.049874,9.191e-05,192.9
4100,0.044160,9.182e-05,193.7
4120,0.042930,9.174e-05,194.5
4140,0.043216,9.165e-05,195.4
4160,0.043230,9.156e-05,196.2
4180,0.047633,9.147e-05,197.0
4200,0.038564,9.138e-05,197.9
4220,0.044035,9.129e-05,198.7
4240,0.041877,9.119e-05,199.5
4260,0.042737,9.110e-05,200.3
4280,0.039726,9.101e-05,201.2
4300,0.038757,9.092e-05,202.0
4320,0.041165,9.083e-05,202.8
4340,0.039990,9.073e-05,203.7
4360,0.039499,9.064e-05,204.5
4380,0.037476,9.055e-05,205.3
4400,0.041654,9.045e-05,206.1
4420,0.041072,9.036e-05,207.0
4440,0.040060,9.026e-05,207.8
4460,0.042158,9.016e-05,208.6
4480,0.039022,9.007e-05,209.4
4500,0.037333,8.997e-05,210.3
4520,0.038032,8.988e-05,211.5
4540,0.041581,8.978e-05,212.4
4560,0.039479,8.968e-05,213.2
4580,0.038952,8.958e-05,214.0
4600,0.040413,8.948e-05,214.8
4620,0.036569,8.938e-05,215.7
4640,0.037889,8.928e-05,216.5
