step,loss,lr,elapsed_s
20,1.113577,4.000e-06,25.1
40,1.099792,8.000e-06,25.9
60,1.076141,1.200e-05,26.8
80,1.045170,1.600e-05,27.7
100,1.015184,2.000e-05,28.5
120,0.989467,2.400e-05,29.3
140,0.967336,2.800e-05,30.2
160,0.942717,3.200e-05,31.1
180,0.911222,3.600e-05,31.9
200,0.872597,4.000e-05,32.8
220,0.833880,4.400e-05,33.7
240,0.790584,4.800e-05,34.7
260,0.752589,5.200e-05,35.6
280,0.714047,5.600e-05,36.5
300,0.675881,6.000e-05,37.4
320,0.643100,6.400e-05,38.3
340,0.605125,6.800e-05,39.2
360,0.573937,7.200e-05,40.1
380,0.543551,7.600e-05,41.0
400,0.514942,8.000e-05,41.9
420,0.490670,8.400e-05,42.7
440,0.467525,8.800e-05,43.6
460,0.446908,9.200e-05,44.4
480,0.423697,9.600e-05,45.2
500,0.405873,1.000e-04,46.0
520,0.385545,1.000e-04,47.2
540,0.372214,1.000e-04,48.0
560,0.357938,1.000e-04,48.8
580,0.347848,1.000e-04,49.7
600,0.333100,9.999e-05,50.5
620,0.324005,9.999e-05,51.3
640,0.310988,9.999e-05,52.1
660,0.299776,9.998e-05,52.9
680,0.292304,9.998e-05,53.8
700,0.283117,9.997e-05,54.6
720,0.275401,9.997e-05,55.5
740,0.267406,9.996e-05,56.3
760,0.256512,9.996e-05,57.2
780,0.256984,9.995e-05,58.1
800,0.244110,9.994e-05,58.9
820,0.242215,9.993e-05,59.8
840,0.234962,9.993e-05,60.6
860,0.227903,9.992e-05,61.5
880,0.224080,9.991e-05,62.4
900,0.219372,9.990e-05,63.3
920,0.211974,9.989e-05,64.2
940,0.207540,9.987e-05,65.1
960,0.203976,9.986e-05,65.9
980,0.197771,9.985e-05,66.8
1000,0.202493,9.984e-05,67.7
1020,0.190703,9.982e-05,69.0
1040,0.185560,9.981e-05,69.8
1060,0.189019,9.980e-05,70.7
1080,0.186064,9.978e-05,71.5
1100,0.186501,9.977e-05,72.4
1120,0.177613,9.975e-05,73.4
1140,0.180677,9.973e-05,74.3
1160,0.176144,9.972e-05,75.2
1180,0.170323,9.970e-05,76.1
1200,0.173949,9.968e-05,77.0
1220,0.169201,9.966e-05,77.9
1240,0.167631,9.965e-05,78.7
1260,0.163792,9.963e-05,79.6
1280,0.160875,9.961e-05,80.4
1300,0.156367,9.959e-05,81.3
1320,0.157945,9.956e-05,82.1
1340,0.158802,9.954e-05,83.0
