run,ck,eps,ick,ieps,holdout,dm_truth_K,dm_gen_K
ck0.0125_eps0.0875,0.0125,0.0875,0,0,0,7.34650,7.29441
ck0.0125_eps0.1389,0.0125,0.1389,0,1,0,7.31778,7.30364
ck0.0125_eps0.2205,0.0125,0.2205,0,2,0,7.31297,7.27670
ck0.0125_eps0.35,0.0125,0.35,0,3,0,7.31052,7.28353
ck0.0125_eps0.5556,0.0125,0.5556,0,4,0,7.30858,7.28132
ck0.0125_eps0.8819,0.0125,0.8819,0,5,0,7.31253,7.32951
ck0.0125_eps1.4,0.0125,1.4,0,6,0,7.31281,7.29664
ck0.0125_eps2.222,0.0125,2.222,0,7,0,7.31298,7.30371
ck0.0125_eps3.528,0.0125,3.528,0,8,0,7.31563,7.24889
ck0.0125_eps5.6,0.0125,5.6,0,9,0,7.32279,7.24806
ck0.01984_eps0.0875,0.01984,0.0875,1,0,0,7.37048,7.37367
ck0.01984_eps0.1389,0.01984,0.1389,1,1,0,7.34221,7.33608
ck0.01984_eps0.2205,0.01984,0.2205,1,2,1,7.32613,7.30934
ck0.01984_eps0.35,0.01984,0.35,1,3,1,7.31113,7.25806
ck0.01984_eps0.5556,0.01984,0.5556,1,4,0,7.30789,7.30867
ck0.01984_eps0.8819,0.01984,0.8819,1,5,1,7.30503,7.28388
ck0.01984_eps1.4,0.01984,1.4,1,6,0,7.30505,7.30348
ck0.01984_eps2.222,0.01984,2.222,1,7,0,7.30323,7.25881
ck0.01984_eps3.528,0.01984,3.528,1,8,0,7.30243,7.27160
ck0.01984_eps5.6,0.01984,5.6,1,9,0,7.30263,7.26635
ck0.0315_eps0.0875,0.0315,0.0875,2,0,0,7.39651,7.34810
ck0.0315_eps0.1389,0.0315,0.1389,2,1,0,7.36951,7.39241
ck0.0315_eps0.2205,0.0315,0.2205,2,2,0,7.34442,7.30610
ck0.0315_eps0.35,0.0315,0.35,2,3,0,7.32491,7.27867
ck0.0315_eps0.5556,0.0315,0.5556,2,4,1,7.31015,7.30804
ck0.0315_eps0.8819,0.0315,0.8819,2,5,0,7.30754,7.25172
ck0.0315_eps1.4,0.0315,1.4,2,6,0,7.30257,7.27164
ck0.0315_eps2.222,0.0315,2.222,2,7,0,7.30095,7.28348
ck0.0315_eps3.528,0.0315,3.528,2,8,1,7.29872,7.28828
ck0.0315_eps5.6,0.0315,5.6,2,9,0,7.29447,7.27042
ck0.05_eps0.0875,0.05,0.0875,3,0,0,7.43938,7.40144
ck0.05_eps0.1389,0.05,0.1389,3,1,0,7.38639,7.38333
ck0.05_eps0.2205,0.05,0.2205,3,2,0,7.36181,7.30085
ck0.05_eps0.35,0.05,0.35,3,3,1,7.34180,7.28588
ck0.05_eps0.5556,0.05,0.5556,3,4,0,7.32377,7.31466
ck0.05_eps0.8819,0.05,0.8819,3,5,0,7.31810,7.30422
ck0.05_eps1.4,0.05,1.4,3,6,0,7.30696,7.25027
ck0.05_eps2.222,0.05,2.222,3,7,0,7.30177,7.29491
ck0.05_eps3.528,0.05,3.528,3,8,0,7.29804,7.27541
ck0.05_eps5.6,0.05,5.6,3,9,0,7.29715,7.29667
ck0.07937_eps0.0875,0.07937,0.0875,4,0,0,7.51347,7.53749
ck0.07937_eps0.1389,0.07937,0.1389,4,1,0,7.44072,7.43658
ck0.07937_eps0.2205,0.07937,0.2205,4,2,0,7.39172,7.40055
ck0.07937_eps0.35,0.07937,0.35,4,3,0,7.35272,7.34125
ck0.07937_eps0.5556,0.07937,0.5556,4,4,0,7.33436,7.32112
ck0.07937_eps0.8819,0.07937,0.8819,4,5,0,7.31532,7.34203
ck0.07937_eps1.4,0.07937,1.4,4,6,1,7.31787,7.32337
ck0.07937_eps2.222,0.07937,2.222,4,7,0,7.30733,7.27481
ck0.07937_eps3.528,0.07937,3.528,4,8,0,7.30148,7.25258
ck0.07937_eps5.6,0.07937,5.6,4,9,0,7.29378,7.25355
ck0.126_eps0.0875,0.126,0.0875,5,0,0,7.59425,7.51651
ck0.126_eps0.1389,0.126,0.1389,5,1,0,7.48161,7.47658
ck0.126_eps0.2205,0.126,0.2205,5,2,0,7.43765,7.38637
ck0.126_eps0.35,0.126,0.35,5,3,0,7.38533,7.37763
ck0.126_eps0.5556,0.126,0.5556,5,4,1,7.34628,7.31854
ck0.126_eps0.8819,0.126,0.8819,5,5,0,7.33035,7.32177
ck0.126_eps1.4,0.126,1.4,5,6,0,7.31671,7.30513
ck0.126_eps2.222,0.126,2.222,5,7,0,7.31011,7.27609
ck0.126_eps3.528,0.126,3.528,5,8,0,7.30841,7.27259
ck0.126_eps5.6,0.126,5.6,5,9,0,7.30116,7.27910
ck0.2_eps0.0875,0.2,0.0875,6,0,0,7.72533,7.60218
ck0.2_eps0.1389,0.2,0.1389,6,1,0,7.58369,7.51635
ck0.2_eps0.2205,0.2,0.2205,6,2,0,7.47968,7.44211
ck0.2_eps0.35,0.2,0.35,6,3,0,7.43512,7.34204
ck0.2_eps0.5556,0.2,0.5556,6,4,0,7.37841,7.34091
ck0.2_eps0.8819,0.2,0.8819,6,5,0,7.33104,7.30111
ck0.2_eps1.4,0.2,1.4,6,6,0,7.32549,7.28830
ck0.2_eps2.222,0.2,2.222,6,7,1,7.31673,7.31936
ck0.2_eps3.528,0.2,3.528,6,8,0,7.31207,7.29926
ck0.2_eps5.6,0.2,5.6,6,9,0,7.30806,7.25065
ck0.3175_eps0.0875,0.3175,0.0875,7,0,0,7.89677,7.75166
ck0.3175_eps0.1389,0.3175,0.1389,7,1,0,7.72909,7.61974
ck0.3175_eps0.2205,0.3175,0.2205,7,2,0,7.58398,7.55080
ck0.3175_eps0.35,0.3175,0.35,7,3,0,7.47722,7.49464
ck0.3175_eps0.5556,0.3175,0.5556,7,4,0,7.43412,7.38512
ck0.3175_eps0.8819,0.3175,0.8819,7,5,1,7.37569,7.33685
ck0.3175_eps1.4,0.3175,1.4,7,6,0,7.31886,7.29518
ck0.3175_eps2.222,0.3175,2.222,7,7,0,7.29542,7.27973
ck0.3175_eps3.528,0.3175,3.528,7,8,0,7.30599,7.29392
ck0.3175_eps5.6,0.3175,5.6,7,9,0,7.29488,7.24199
ck0.504_eps0.0875,0.504,0.0875,8,0,0,8.10971,7.98028
ck0.504_eps0.1389,0.504,0.1389,8,1,0,7.89258,7.84013
ck0.504_eps0.2205,0.504,0.2205,8,2,0,7.72017,7.64992
ck0.504_eps0.35,0.504,0.35,8,3,0,7.58921,7.54803
ck0.504_eps0.5556,0.504,0.5556,8,4,0,7.47389,7.44626
ck0.504_eps0.8819,0.504,0.8819,8,5,0,7.42866,7.42565
ck0.504_eps1.4,0.504,1.4,8,6,0,7.37398,7.34138
ck0.504_eps2.222,0.504,2.222,8,7,0,7.32807,7.28022
ck0.504_eps3.528,0.504,3.528,8,8,0,7.28122,7.24759
ck0.504_eps5.6,0.504,5.6,8,9,0,7.23506,7.24708
ck0.8_eps0.0875,0.8,0.0875,9,0,0,8.33850,8.17943
ck0.8_eps0.1389,0.8,0.1389,9,1,0,8.09254,7.95125
ck0.8_eps0.2205,0.8,0.2205,9,2,0,7.88064,7.78196
ck0.8_eps0.35,0.8,0.35,9,3,0,7.71380,7.69792
ck0.8_eps0.5556,0.8,0.5556,9,4,0,7.58545,7.52796
ck0.8_eps0.8819,0.8,0.8819,9,5,0,7.45715,7.43818
ck0.8_eps1.4,0.8,1.4,9,6,0,7.42425,7.40459
ck0.8_eps2.222,0.8,2.222,9,7,0,7.36177,7.33424
ck0.8_eps3.528,0.8,3.528,9,8,0,7.28870,7.24137
ck0.8_eps5.6,0.8,5.6,9,9,0,7.24280,7.23421
