step,loss,lr,elapsed_s
20,1.114731,4.000e-06,29.6
40,1.101539,8.000e-06,30.4
60,1.078637,1.200e-05,31.3
80,1.048029,1.600e-05,32.1
100,1.015961,2.000e-05,32.9
120,0.987174,2.400e-05,33.7
140,0.963347,2.800e-05,34.6
160,0.937179,3.200e-05,35.4
180,0.904770,3.600e-05,36.2
200,0.866505,4.000e-05,37.1
220,0.828639,4.400e-05,37.9
240,0.786250,4.800e-05,38.7
260,0.749326,5.200e-05,39.6
280,0.711517,5.600e-05,40.4
300,0.673768,6.000e-05,41.2
320,0.641353,6.400e-05,42.0
340,0.602362,6.800e-05,42.9
360,0.570231,7.200e-05,43.7
380,0.538278,7.600e-05,44.6
400,0.510043,8.000e-05,45.4
420,0.484946,8.400e-05,46.3
440,0.461225,8.800e-05,47.1
460,0.439252,9.200e-05,47.9
480,0.416230,9.600e-05,48.8
500,0.397929,1.000e-04,49.6
520,0.377709,1.000e-04,51.0
540,0.363622,1.000e-04,51.9
560,0.348205,1.000e-04,52.7
580,0.337396,1.000e-04,53.5
600,0.321571,9.999e-05,54.4
620,0.311018,9.999e-05,55.2
640,0.297049,9.999e-05,56.1
660,0.285468,9.998e-05,56.9
680,0.276456,9.998e-05,57.8
700,0.267369,9.997e-05,58.6
720,0.260685,9.997e-05,59.4
740,0.252678,9.996e-05,60.2
760,0.241827,9.996e-05,61.0
780,0.243100,9.995e-05,61.8
800,0.230993,9.994e-05,62.6
820,0.231256,9.993e-05,63.4
840,0.221438,9.993e-05,64.3
860,0.215792,9.992e-05,65.1
880,0.213869,9.991e-05,65.9
900,0.207440,9.990e-05,66.7
920,0.199581,9.989e-05,67.5
940,0.195194,9.987e-05,68.4
960,0.192733,9.986e-05,69.2
980,0.186924,9.985e-05,70.0
1000,0.192634,9.984e-05,70.8
1020,0.180931,9.982e-05,72.1
1040,0.175431,9.981e-05,72.9
1060,0.179025,9.980e-05,73.7
1080,0.177192,9.978e-05,74.5
1100,0.176560,9.977e-05,75.3
1120,0.167720,9.975e-05,76.1
1140,0.169111,9.973e-05,76.9
1160,0.166539,9.972e-05,77.7
1180,0.161139,9.970e-05,78.6
1200,0.163886,9.968e-05,79.4
1220,0.160051,9.966e-05,80.2
1240,0.159692,9.965e-05,81.0
1260,0.155362,9.963e-05,81.8
1280,0.151560,9.961e-05,82.6
1300,0.149169,9.959e-05,83.4
1320,0.149748,9.956e-05,84.2
1340,0.150572,9.954e-05,85.0
1360,0.148020,9.952e-05,85.9
1380,0.144781,9.950e-05,86.7
1400,0.141165,9.948e-05,87.5
1420,0.140313,9.945e-05,88.4
1440,0.141426,9.943e-05,89.2
1460,0.134571,9.940e-05,90.0
1480,0.141449,9.938e-05,90.8
1500,0.134748,9.935e-05,91.7
1520,0.134861,9.933e-05,92.9
1540,0.133709,9.930e-05,93.8
1560,0.129377,9.927e-05,94.6
1580,0.129873,9.925e-05,95.4
1600,0.127435,9.922e-05,96.2
1620,0.128414,9.919e-05,97.0
1640,0.129593,9.916e-05,97.9
