step,loss,lr,elapsed_s
20,1.113321,4.000e-06,29.6
40,1.101466,8.000e-06,30.5
60,1.079820,1.200e-05,31.3
80,1.049286,1.600e-05,32.2
100,1.014949,2.000e-05,33.0
120,0.983710,2.400e-05,33.9
140,0.960654,2.800e-05,34.7
160,0.933581,3.200e-05,35.5
180,0.900857,3.600e-05,36.2
200,0.863849,4.000e-05,37.0
220,0.828080,4.400e-05,37.8
240,0.787314,4.800e-05,38.6
260,0.753200,5.200e-05,39.4
280,0.717399,5.600e-05,40.2
300,0.680791,6.000e-05,41.0
320,0.650166,6.400e-05,41.8
340,0.609557,6.800e-05,42.6
360,0.576617,7.200e-05,43.4
380,0.541206,7.600e-05,44.2
400,0.509875,8.000e-05,45.0
420,0.483035,8.400e-05,45.8
440,0.459823,8.800e-05,46.6
460,0.434297,9.200e-05,47.4
480,0.411617,9.600e-05,48.2
500,0.391917,1.000e-04,49.0
520,0.371746,1.000e-04,50.6
540,0.356417,1.000e-04,51.4
560,0.340542,1.000e-04,52.2
580,0.331349,1.000e-04,53.0
600,0.315459,9.999e-05,53.8
620,0.306011,9.999e-05,54.6
640,0.291178,9.999e-05,55.4
660,0.279388,9.998e-05,56.2
680,0.272287,9.998e-05,57.0
700,0.260720,9.997e-05,57.8
720,0.257948,9.997e-05,58.6
740,0.250916,9.996e-05,59.4
760,0.239099,9.996e-05,60.2
780,0.242740,9.995e-05,61.0
800,0.228242,9.994e-05,61.8
820,0.231324,9.993e-05,62.6
840,0.218169,9.993e-05,63.4
860,0.213735,9.992e-05,64.2
880,0.212417,9.991e-05,65.0
900,0.206459,9.990e-05,65.8
920,0.196044,9.989e-05,66.6
940,0.193835,9.987e-05,67.4
960,0.191416,9.986e-05,68.2
980,0.187311,9.985e-05,69.0
1000,0.194089,9.984e-05,69.8
1020,0.180657,9.982e-05,71.1
1040,0.175298,9.981e-05,71.9
1060,0.180014,9.980e-05,72.7
1080,0.179607,9.978e-05,73.5
1100,0.178050,9.977e-05,74.3
1120,0.169718,9.975e-05,75.2
1140,0.174785,9.973e-05,76.0
1160,0.169050,9.972e-05,76.8
1180,0.162185,9.970e-05,77.6
1200,0.169473,9.968e-05,78.4
1220,0.161532,9.966e-05,79.2
1240,0.163893,9.965e-05,80.1
1260,0.160981,9.963e-05,80.9
1280,0.155044,9.961e-05,81.7
1300,0.151064,9.959e-05,82.5
1320,0.153761,9.956e-05,83.3
1340,0.153985,9.954e-05,84.2
1360,0.152583,9.952e-05,85.0
1380,0.148542,9.950e-05,85.8
1400,0.146644,9.948e-05,86.7
1420,0.145357,9.945e-05,87.5
1440,0.146417,9.943e-05,88.3
1460,0.135939,9.940e-05,89.1
1480,0.147267,9.938e-05,90.0
1500,0.136321,9.935e-05,90.8
1520,0.138453,9.933e-05,92.1
1540,0.137954,9.930e-05,92.9
1560,0.131146,9.927e-05,93.8
1580,0.134187,9.925e-05,94.6
1600,0.130847,9.922e-05,95.5
1620,0.133333,9.919e-05,96.3
1640,0.134251,9.916e-05,97.2
1660,0.131799,9.913e-05,98.0
1680,0.129741,9.910e-05,98.9
1700,0.132574,9.907e-05,99.7
1720,0.123075,9.904e-05,100.5
1740,0.128050,9.901e-05,101.4
1760,0.120033,9.897e-05,102.2
1780,0.126750,9.894e-05,103.1
1800,0.124441,9.891e-05,103.9
1820,0.120783,9.887e-05,104.8
1840,0.120356,9.884e-05,105.6
1860,0.118561,9.880e-05,106.4
1880,0.120468,9.877e-05,107.3
1900,0.121741,9.873e-05,108.1
1920,0.113190,9.870e-05,109.0
1940,0.117080,9.866e-05,109.8
1960,0.109656,9.862e-05,110.7
1980,0.115163,9.859e-05,111.5
2000,0.109436,9.855e-05,112.3
2020,0.116050,9.851e-05,113.6
2040,0.104867,9.847e-05,114.5
2060,0.107823,9.843e-05,115.3
2080,0.114219,9.839e-05,116.1
2100,0.105627,9.835e-05,116.9
2120,0.109303,9.831e-05,117.8
2140,0.102370,9.826e-05,118.6
2160,0.113237,9.822e-05,119.4
2180,0.098906,9.818e-05,120.2
2200,0.102058,9.814e-05,121.1
2220,0.104718,9.809e-05,121.9
2240,0.098169,9.805e-05,122.7
2260,0.100216,9.800e-05,123.5
2280,0.102477,9.796e-05,124.4
2300,0.102899,9.791e-05,125.2
2320,0.098095,9.787e-05,126.0
2340,0.099878,9.782e-05,126.8
2360,0.093447,9.777e-05,127.6
2380,0.098654,9.772e-05,128.4
2400,0.099379,9.768e-05,129.2
2420,0.091976,9.763e-05,130.0
2440,0.089848,9.758e-05,130.8
2460,0.090779,9.753e-05,131.5
2480,0.091079,9.748e-05,132.3
2500,0.090522,9.743e-05,133.1
2520,0.087449,9.738e-05,134.4
2540,0.090850,9.732e-05,135.2
2560,0.088866,9.727e-05,136.0
2580,0.088256,9.722e-05,136.8
2600,0.091841,9.717e-05,137.6
2620,0.085532,9.711e-05,138.5
2640,0.089625,9.706e-05,139.3
2660,0.087381,9.700e-05,140.1
2680,0.079779,9.695e-05,140.9
2700,0.082291,9.689e-05,141.7
2720,0.081512,9.684e-05,142.6
2740,0.078942,9.678e-05,143.4
2760,0.078642,9.672e-05,144.2
2780,0.083691,9.666e-05,145.0
2800,0.073083,9.661e-05,145.9
2820,0.073404,9.655e-05,146.7
2840,0.075972,9.649e-05,147.5
2860,0.072441,9.643e-05,148.3
2880,0.070567,9.637e-05,149.2
2900,0.076035,9.631e-05,150.0
2920,0.072042,9.625e-05,150.8
2940,0.077414,9.619e-05,151.6
2960,0.074906,9.612e-05,152.4
2980,0.072367,9.606e-05,153.3
3000,0.078645,9.600e-05,154.1
3020,0.066714,9.594e-05,155.4
3040,0.074507,9.587e-05,156.2
3060,0.074443,9.581e-05,157.0
3080,0.068528,9.574e-05,157.9
3100,0.066720,9.568e-05,158.7
3120,0.069991,9.561e-05,159.5
3140,0.066541,9.555e-05,160.3
3160,0.068036,9.548e-05,161.2
3180,0.062260,9.541e-05,162.0
3200,0.070550,9.534e-05,162.8
3220,0.067335,9.528e-05,163.7
3240,0.068553,9.521e-05,164.5
3260,0.066581,9.514e-05,165.3
3280,0.065275,9.507e-05,166.2
3300,0.062097,9.500e-05,167.0
3320,0.066557,9.493e-05,167.8
3340,0.061370,9.486e-05,168.6
3360,0.063656,9.479e-05,169.5
3380,0.060281,9.471e-05,170.3
3400,0.063306,9.464e-05,171.1
3420,0.061808,9.457e-05,172.0
3440,0.064449,9.450e-05,172.8
3460,0.055930,9.442e-05,173.6
3480,0.057812,9.435e-05,174.4
3500,0.052521,9.427e-05,175.3
3520,0.054430,9.420e-05,176.5
3540,0.060269,9.412e-05,177.3
3560,0.056466,9.405e-05,178.1
3580,0.056991,9.397e-05,178.9
3600,0.058883,9.389e-05,179.8
3620,0.055357,9.382e-05,180.6
3640,0.051250,9.374e-05,181.4
3660,0.055950,9.366e-05,182.2
3680,0.059986,9.358e-05,183.0
3700,0.055412,9.350e-05,183.8
3720,0.051702,9.342e-05,184.6
3740,0.049928,9.334e-05,185.4
3760,0.058236,9.326e-05,186.2
3780,0.054234,9.318e-05,187.0
3800,0.053242,9.310e-05,187.8
3820,0.056690,9.302e-05,188.6
3840,0.053188,9.293e-05,189.4
3860,0.051034,9.285e-05,190.2
3880,0.057018,9.277e-05,191.0
3900,0.049046,9.268e-05,191.8
3920,0.050273,9.260e-05,192.7
3940,0.049084,9.252e-05,193.5
3960,0.050709,9.243e-05,194.3
3980,0.050386,9.235e-05,195.1
4000,0.047609,9.226e-05,195.9
4020,0.047190,9.217e-05,197.1
4040,0.049499,9.209e-05,197.9
4060,0.057536,9.200e-05,198.7
4080,0.058011,9.191e-05,199.5
4100,0.048012,9.182e-05,200.3
4120,0.046646,9.174e-05,201.1
4140,0.046030,9.165e-05,201.9
4160,0.045323,9.156e-05,202.7
4180,0.053716,9.147e-05,203.5
4200,0.041178,9.138e-05,204.3
4220,0.047452,9.129e-05,205.1
4240,0.046305,9.119e-05,205.9
4260,0.049170,9.110e-05,206.7
4280,0.043226,9.101e-05,207.5
4300,0.043436,9.092e-05,208.3
4320,0.047344,9.083e-05,209.1
4340,0.044213,9.073e-05,209.9
4360,0.045905,9.064e-05,210.7
4380,0.040536,9.055e-05,211.5
4400,0.044813,9.045e-05,212.3
4420,0.048782,9.036e-05,213.1
4440,0.047212,9.026e-05,214.0
4460,0.045440,9.016e-05,214.8
4480,0.042156,9.007e-05,215.6
4500,0.041429,8.997e-05,216.4
4520,0.046530,8.988e-05,217.6
4540,0.045965,8.978e-05,218.4
4560,0.042639,8.968e-05,219.2
4580,0.041366,8.958e-05,220.0
4600,0.045217,8.948e-05,220.8
4620,0.040021,8.938e-05,221.6
4640,0.041863,8.928e-05,222.4
4660,0.047216,8.918e-05,223.2
4680,0.044601,8.908e-05,224.0
4700,0.045385,8.898e-05,224.8
4720,0.036835,8.888e-05,225.6
4740,0.041348,8.878e-05,226.4
4760,0.040328,8.868e-05,227.2
4780,0.040079,8.858e-05,228.1
4800,0.042721,8.847e-05,228.9
4820,0.040862,8.837e-05,229.7
4840,0.041623,8.827e-05,230.6
4860,0.038895,8.816e-05,231.4
4880,0.039722,8.806e-05,232.2
4900,0.042676,8.795e-05,233.1
4920,0.045134,8.785e-05,233.9
4940,0.039791,8.774e-05,234.7
4960,0.039726,8.764e-05,235.6
4980,0.041985,8.753e-05,236.4
5000,0.038265,8.743e-05,237.2
5020,0.036362,8.732e-05,238.4
5040,0.041335,8.721e-05,239.3
5060,0.042208,8.710e-05,240.1
5080,0.037763,8.700e-05,240.9
5100,0.040340,8.689e-05,241.7
5120,0.041317,8.678e-05,242.6
5140,0.037574,8.667e-05,243.4
5160,0.035644,8.656e-05,244.2
5180,0.038618,8.645e-05,245.0
5200,0.036597,8.634e-05,245.8
5220,0.040416,8.623e-05,246.6
5240,0.034889,8.612e-05,247.4
5260,0.036151,8.600e-05,248.2
5280,0.037489,8.589e-05,249.0
5300,0.033789,8.578e-05,249.8
5320,0.034318,8.567e-05,250.6
5340,0.037365,8.555e-05,251.4
5360,0.031013,8.544e-05,252.2
5380,0.037805,8.533e-05,253.0
5400,0.035374,8.521e-05,253.8
5420,0.036782,8.510e-05,254.6
5440,0.034400,8.498e-05,255.4
5460,0.033052,8.487e-05,256.2
5480,0.040028,8.475e-05,257.0
5500,0.035139,8.464e-05,257.8
5520,0.035297,8.452e-05,259.0
5540,0.033644,8.440e-05,259.8
5560,0.040930,8.429e-05,260.6
5580,0.032335,8.417e-05,261.4
5600,0.034020,8.405e-05,262.2
5620,0.036047,8.393e-05,263.0
5640,0.034782,8.381e-05,263.9
5660,0.035773,8.370e-05,264.7
5680,0.034407,8.358e-05,265.5
5700,0.033529,8.346e-05,266.3
5720,0.036319,8.334e-05,267.1
5740,0.031405,8.322e-05,267.9
5760,0.033790,8.310e-05,268.7
5780,0.033974,8.297e-05,269.5
5800,0.033653,8.285e-05,270.3
5820,0.031939,8.273e-05,271.1
5840,0.031817,8.261e-05,272.0
5860,0.037251,8.249e-05,272.8
5880,0.037398,8.237e-05,273.6
5900,0.034654,8.224e-05,274.4
5920,0.033628,8.212e-05,275.2
5940,0.028825,8.200e-05,276.0
5960,0.031332,8.187e-05,276.8
5980,0.029659,8.175e-05,277.6
6000,0.032691,8.162e-05,278.4
6020,0.033526,8.150e-05,279.6
6040,0.035795,8.137e-05,280.4
6060,0.036411,8.125e-05,281.2
6080,0.025867,8.112e-05,282.0
6100,0.037037,8.099e-05,282.8
6120,0.031583,8.087e-05,283.7
6140,0.036924,8.074e-05,284.5
6160,0.027826,8.061e-05,285.3
6180,0.028840,8.049e-05,286.1
6200,0.030502,8.036e-05,286.9
6220,0.035517,8.023e-05,287.7
6240,0.031175,8.010e-05,288.5
6260,0.033918,7.997e-05,289.3
6280,0.031875,7.984e-05,290.1
6300,0.029830,7.971e-05,290.9
6320,0.032060,7.958e-05,291.7
6340,0.028199,7.945e-05,292.5
6360,0.030942,7.932e-05,293.3
6380,0.026011,7.919e-05,294.1
6400,0.026683,7.906e-05,294.9
6420,0.030374,7.893e-05,295.8
6440,0.033262,7.880e-05,296.6
6460,0.028223,7.867e-05,297.4
6480,0.030429,7.854e-05,298.2
6500,0.028208,7.840e-05,299.0
6520,0.026271,7.827e-05,300.2
6540,0.027536,7.814e-05,301.0
6560,0.024282,7.800e-05,301.8
6580,0.025141,7.787e-05,302.6
6600,0.031040,7.774e-05,303.4
6620,0.026042,7.760e-05,304.2
6640,0.027826,7.747e-05,305.0
6660,0.033492,7.733e-05,305.8
6680,0.028769,7.720e-05,306.6
6700,0.024699,7.706e-05,307.4
6720,0.027884,7.693e-05,308.2
6740,0.024858,7.679e-05,309.0
