step,loss,lr,elapsed_s
20,1.114785,4.000e-06,33.0
40,1.101449,8.000e-06,33.8
60,1.078534,1.200e-05,34.7
80,1.047962,1.600e-05,35.6
100,1.015927,2.000e-05,36.4
120,0.987194,2.400e-05,37.3
140,0.963142,2.800e-05,38.2
160,0.936918,3.200e-05,39.0
180,0.904530,3.600e-05,39.8
200,0.866255,4.000e-05,40.7
220,0.828481,4.400e-05,41.5
240,0.786163,4.800e-05,42.3
260,0.749040,5.200e-05,43.1
280,0.711239,5.600e-05,43.9
300,0.673425,6.000e-05,44.7
320,0.640624,6.400e-05,45.5
340,0.601516,6.800e-05,46.3
360,0.569205,7.200e-05,47.1
380,0.537310,7.600e-05,47.9
400,0.509061,8.000e-05,48.7
420,0.484310,8.400e-05,49.5
440,0.461174,8.800e-05,50.4
460,0.438569,9.200e-05,51.2
480,0.416154,9.600e-05,52.0
500,0.398023,1.000e-04,52.8
520,0.377235,1.000e-04,54.3
540,0.363208,1.000e-04,55.1
560,0.347556,1.000e-04,55.9
580,0.336747,1.000e-04,56.7
600,0.320874,9.999e-05,57.5
620,0.310836,9.999e-05,58.3
640,0.297555,9.999e-05,59.1
660,0.286396,9.998e-05,59.9
680,0.278813,9.998e-05,60.8
700,0.268106,9.997e-05,61.6
720,0.262027,9.997e-05,62.4
740,0.254132,9.996e-05,63.2
760,0.242785,9.996e-05,64.0
780,0.242192,9.995e-05,64.8
800,0.230539,9.994e-05,65.6
820,0.230766,9.993e-05,66.4
840,0.221498,9.993e-05,67.2
860,0.215730,9.992e-05,68.0
880,0.212972,9.991e-05,68.8
900,0.207267,9.990e-05,69.6
920,0.200443,9.989e-05,70.4
940,0.196783,9.987e-05,71.3
960,0.193314,9.986e-05,72.1
980,0.186876,9.985e-05,72.9
1000,0.192889,9.984e-05,73.7
1020,0.180740,9.982e-05,74.9
1040,0.176021,9.981e-05,75.7
1060,0.178210,9.980e-05,76.6
1080,0.177654,9.978e-05,77.4
1100,0.177426,9.977e-05,78.2
1120,0.168847,9.975e-05,79.0
1140,0.170773,9.973e-05,79.8
1160,0.165802,9.972e-05,80.6
1180,0.160170,9.970e-05,81.4
1200,0.163739,9.968e-05,82.2
1220,0.159740,9.966e-05,83.0
1240,0.160065,9.965e-05,83.8
1260,0.155370,9.963e-05,84.7
1280,0.152888,9.961e-05,85.5
1300,0.149306,9.959e-05,86.3
1320,0.150945,9.956e-05,87.1
1340,0.150387,9.954e-05,87.9
1360,0.148044,9.952e-05,88.7
1380,0.144368,9.950e-05,89.5
1400,0.141651,9.948e-05,90.3
1420,0.140617,9.945e-05,91.1
1440,0.142347,9.943e-05,91.9
1460,0.135154,9.940e-05,92.7
1480,0.141803,9.938e-05,93.5
1500,0.134824,9.935e-05,94.3
1520,0.134356,9.933e-05,95.6
1540,0.133361,9.930e-05,96.4
1560,0.129534,9.927e-05,97.2
1580,0.129399,9.925e-05,98.0
1600,0.126410,9.922e-05,98.8
1620,0.129573,9.919e-05,99.6
1640,0.129998,9.916e-05,100.4
1660,0.124195,9.913e-05,101.2
1680,0.123934,9.910e-05,102.0
1700,0.126946,9.907e-05,102.8
1720,0.120621,9.904e-05,103.7
1740,0.123368,9.901e-05,104.5
1760,0.116969,9.897e-05,105.3
1780,0.119780,9.894e-05,106.1
1800,0.120592,9.891e-05,106.9
1820,0.117436,9.887e-05,107.7
1840,0.117470,9.884e-05,108.5
1860,0.115710,9.880e-05,109.3
1880,0.117445,9.877e-05,110.1
1900,0.115059,9.873e-05,110.9
1920,0.110821,9.870e-05,111.7
1940,0.113355,9.866e-05,112.6
1960,0.107839,9.862e-05,113.4
1980,0.109964,9.859e-05,114.2
2000,0.105391,9.855e-05,115.0
2020,0.109979,9.851e-05,116.2
2040,0.102656,9.847e-05,117.1
2060,0.103722,9.843e-05,117.9
2080,0.108158,9.839e-05,118.7
2100,0.101993,9.835e-05,119.5
2120,0.105983,9.831e-05,120.3
2140,0.099030,9.826e-05,121.1
2160,0.106250,9.822e-05,121.9
2180,0.097563,9.818e-05,122.7
2200,0.098712,9.814e-05,123.5
2220,0.102152,9.809e-05,124.3
2240,0.094901,9.805e-05,125.2
2260,0.096362,9.800e-05,126.0
2280,0.097112,9.796e-05,126.9
2300,0.099659,9.791e-05,127.7
2320,0.094324,9.787e-05,128.6
2340,0.096623,9.782e-05,129.4
2360,0.091920,9.777e-05,130.3
2380,0.093990,9.772e-05,131.1
2400,0.093413,9.768e-05,132.0
2420,0.090781,9.763e-05,132.8
2440,0.088180,9.758e-05,133.7
2460,0.087185,9.753e-05,134.5
2480,0.089103,9.748e-05,135.3
2500,0.086632,9.743e-05,136.1
2520,0.084636,9.738e-05,137.4
2540,0.087356,9.732e-05,138.2
2560,0.086802,9.727e-05,139.0
2580,0.086848,9.722e-05,139.8
2600,0.086364,9.717e-05,140.6
2620,0.082764,9.711e-05,141.4
2640,0.085607,9.706e-05,142.2
2660,0.083163,9.700e-05,143.0
2680,0.079162,9.695e-05,143.8
2700,0.081695,9.689e-05,144.6
2720,0.077952,9.684e-05,145.5
2740,0.075762,9.678e-05,146.3
2760,0.074952,9.672e-05,147.1
2780,0.078492,9.666e-05,147.9
2800,0.071146,9.661e-05,148.7
2820,0.073160,9.655e-05,149.5
2840,0.074287,9.649e-05,150.3
2860,0.072430,9.643e-05,151.1
2880,0.069793,9.637e-05,152.0
2900,0.072063,9.631e-05,152.8
2920,0.070144,9.625e-05,153.6
2940,0.075622,9.619e-05,154.4
2960,0.075878,9.612e-05,155.2
2980,0.069712,9.606e-05,156.0
3000,0.075728,9.600e-05,156.8
3020,0.066256,9.594e-05,158.2
3040,0.071130,9.587e-05,159.0
3060,0.074245,9.581e-05,159.8
3080,0.067455,9.574e-05,160.6
3100,0.065687,9.568e-05,161.4
3120,0.067641,9.561e-05,162.2
3140,0.063680,9.555e-05,163.0
3160,0.067021,9.548e-05,163.9
3180,0.061231,9.541e-05,164.7
3200,0.065356,9.534e-05,165.5
3220,0.062126,9.528e-05,166.3
3240,0.064955,9.521e-05,167.1
3260,0.063420,9.514e-05,167.9
3280,0.064817,9.507e-05,168.7
3300,0.060510,9.500e-05,169.5
3320,0.065396,9.493e-05,170.3
3340,0.060609,9.486e-05,171.1
3360,0.061967,9.479e-05,171.9
3380,0.058316,9.471e-05,172.7
3400,0.061924,9.464e-05,173.6
3420,0.059993,9.457e-05,174.4
3440,0.060459,9.450e-05,175.2
3460,0.054801,9.442e-05,176.0
3480,0.055940,9.435e-05,176.8
3500,0.053996,9.427e-05,177.6
3520,0.053723,9.420e-05,178.9
3540,0.054618,9.412e-05,179.7
3560,0.053180,9.405e-05,180.5
3580,0.052922,9.397e-05,181.3
3600,0.055561,9.389e-05,182.1
3620,0.054467,9.382e-05,182.9
3640,0.050710,9.374e-05,183.7
3660,0.052706,9.366e-05,184.5
3680,0.055050,9.358e-05,185.3
3700,0.053634,9.350e-05,186.1
3720,0.050181,9.342e-05,186.9
3740,0.049413,9.334e-05,187.7
3760,0.054185,9.326e-05,188.5
3780,0.050521,9.318e-05,189.3
3800,0.049946,9.310e-05,190.1
3820,0.052421,9.302e-05,190.9
3840,0.048613,9.293e-05,191.7
3860,0.049311,9.285e-05,192.5
3880,0.054514,9.277e-05,193.3
3900,0.047130,9.268e-05,194.1
3920,0.046766,9.260e-05,194.9
3940,0.046207,9.252e-05,195.7
3960,0.046307,9.243e-05,196.5
3980,0.045663,9.235e-05,197.3
4000,0.044758,9.226e-05,198.2
4020,0.044174,9.217e-05,199.6
4040,0.045606,9.209e-05,200.4
4060,0.054697,9.200e-05,201.2
4080,0.052630,9.191e-05,202.0
4100,0.045265,9.182e-05,202.8
4120,0.043572,9.174e-05,203.6
4140,0.042184,9.165e-05,204.4
4160,0.042437,9.156e-05,205.2
4180,0.047625,9.147e-05,206.0
4200,0.039262,9.138e-05,206.8
4220,0.043500,9.129e-05,207.6
4240,0.042095,9.119e-05,208.5
4260,0.043572,9.110e-05,209.3
4280,0.041218,9.101e-05,210.1
4300,0.038826,9.092e-05,210.9
4320,0.042305,9.083e-05,211.7
4340,0.040619,9.073e-05,212.5
4360,0.040540,9.064e-05,213.3
4380,0.038780,9.055e-05,214.1
4400,0.041605,9.045e-05,214.9
4420,0.040602,9.036e-05,215.7
4440,0.039990,9.026e-05,216.5
4460,0.041692,9.016e-05,217.3
4480,0.039086,9.007e-05,218.1
4500,0.038054,8.997e-05,218.9
4520,0.038534,8.988e-05,220.2
4540,0.041153,8.978e-05,221.0
4560,0.038521,8.968e-05,221.8
4580,0.036850,8.958e-05,222.6
4600,0.039595,8.948e-05,223.4
4620,0.035940,8.938e-05,224.2
4640,0.038739,8.928e-05,225.0
4660,0.040112,8.918e-05,225.8
4680,0.039717,8.908e-05,226.6
4700,0.041650,8.898e-05,227.4
4720,0.033932,8.888e-05,228.2
4740,0.035293,8.878e-05,229.0
4760,0.035959,8.868e-05,229.8
4780,0.036550,8.858e-05,230.6
4800,0.039436,8.847e-05,231.4
4820,0.037226,8.837e-05,232.2
4840,0.036443,8.827e-05,233.0
4860,0.035347,8.816e-05,233.8
4880,0.037187,8.806e-05,234.6
4900,0.038529,8.795e-05,235.4
4920,0.039705,8.785e-05,236.2
4940,0.035114,8.774e-05,237.0
4960,0.034361,8.764e-05,237.9
4980,0.038862,8.753e-05,238.7
5000,0.036692,8.743e-05,239.5
5020,0.034506,8.732e-05,240.7
5040,0.035455,8.721e-05,241.5
5060,0.034463,8.710e-05,242.3
5080,0.031840,8.700e-05,243.1
5100,0.035035,8.689e-05,243.9
5120,0.036046,8.678e-05,244.8
5140,0.033982,8.667e-05,245.6
5160,0.031096,8.656e-05,246.4
5180,0.034144,8.645e-05,247.2
5200,0.030834,8.634e-05,248.0
5220,0.035321,8.623e-05,248.8
5240,0.030174,8.612e-05,249.6
5260,0.031701,8.600e-05,250.4
5280,0.033119,8.589e-05,251.2
5300,0.030118,8.578e-05,252.0
5320,0.031913,8.567e-05,252.8
5340,0.032476,8.555e-05,253.6
5360,0.027863,8.544e-05,254.4
5380,0.030649,8.533e-05,255.2
5400,0.030927,8.521e-05,256.0
5420,0.031457,8.510e-05,256.9
5440,0.029806,8.498e-05,257.7
5460,0.029704,8.487e-05,258.5
5480,0.035208,8.475e-05,259.3
